year;site_short;site;siteclass;ecosystem_category;critical_load_min;critical_load_single;critical_load_max;estimate;parameter;value;unit;source
2020;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;geschätzt;NH3-N Gasdep.;7.918609688;kg-N/ha/a;Ostluft
2020;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;geschätzt;NH4-N Gravitationsdep.;5.94185433;kg-N/ha/a;Ostluft
2020;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;geschätzt;NH4-N Interzeption;0.426173407;kg-N/ha/a;Ostluft
2020;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;geschätzt;NO2-N Gasdep.;0.472818579;kg-N/ha/a;Ostluft
2020;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;geschätzt;NO3-N Gravitationsdep.;3.023003286;kg-N/ha/a;Ostluft
2020;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;geschätzt;NO3-N Interzeption;0.282749461;kg-N/ha/a;Ostluft
2021;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;HNO3-N Gasdep.;0.60576956;kg-N/ha/a;Ostluft
2021;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;N-Deposition;17.21652678;kg-N/ha/a;Ostluft
2021;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NH3-N Gasdep.;6.207209955;kg-N/ha/a;Ostluft
2021;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NH4-N Gravitationsdep.;5.940741927;kg-N/ha/a;Ostluft
2021;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NH4-N Interzeption;0.524757141;kg-N/ha/a;Ostluft
2021;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NO2-N Gasdep.;0.479798737;kg-N/ha/a;Ostluft
2021;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NO3-N Gravitationsdep.;3.138344485;kg-N/ha/a;Ostluft
2021;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NO3-N Interzeption;0.319904979;kg-N/ha/a;Ostluft
2022;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;HNO3-N Gasdep.;0.63605803;kg-N/ha/a;Ostluft
