"msID","msNameAirMo","msCode_PS","msOrt","msOrtsteil","msKT","spID","spXCoord","spYCoord","spHoehe","spBisDatum","scID","scVerkehrslage","scSiedlungsgroesse","scLagerelativSiedlung","scSpezialinfo","scIDBStandorttyp","scIDBStationstyp","scIDBBebauung","scIDBVerkehr","scBisDatum"
1159,"8180_0060","8180_0060","Bülach","Lindenhof","ZH",810,2682816,1263794,430,,2265,"S0","H13","Zentrum","A2","Vorstädtisch","Hintergrund","einseitig offen","5&apos;000 - 20&apos;000",
1160,"8953_0030","8953_0030","Dietikon","Badenerstrasse","ZH",811,2672485,1250960,391,,2266,"S12","H12","Wohngebiete","A2","Städtisch","Verkehr","einseitig offen","5&apos;000 - 20&apos;000",
1161,"8305_0010","8305_0010","Dietlikon","Gemeindehaus","ZH",812,2688998,1253335,402,,2267,"S12","H13","Zentrum","A2","Vorstädtisch","Verkehr","einseitig offen","5&apos;000 - 20&apos;000",
1162,"8604_0010","8604_0010","Hegnau","Kreisel","ZH",813,2693508,1249425,459,,2268,"S12","H11","Randzonen","A2","Vorstädtisch","Verkehr","einseitig offen","5&apos;000 - 20&apos;000",
1163,"8913_0040","8913_0040","Ottenbach","Bibelaas","ZH",814,2672489,1236903,383,,2270,"S0","H00",,"A2","Ländlich","Hintergrund","offen","&lt; 5&apos;000",
1181,"8306_0010","8306_0010","Brüttisellen","Haldenstrasse","ZH",856,2689893,1252918,443,,2326,"S0","H12","Wohngebiete","A2","Vorstädtisch","Verkehr","einseitig offen","&lt; 5&apos;000",
1182,"8157_0010","8157_0010","Dielsdorf","Wehntalerstrasse","ZH",855,2676479,1259551,455,,2325,"S12","H13","Zentrum","A2","Vorstädtisch","Verkehr","einseitig offen","5&apos;000 - 20&apos;000",
1189,"Klo_Feld","8302_0070","Kloten","Feld","ZH",968,2686370,1256639,440,,2464,"S0","H22","Wohngebiete","A2","Vorstädtisch","Hintergrund","keine","&lt; 5&apos;000",
1190,"8934_0060","8934_0060","Knonau","Ägelsee","ZH",847,2675681,1232590,447,,2317,"S00","H00",,"A2","Ländlich","Hintergrund","keine","&lt; 5&apos;000",
1193,"8330_0020","8330_0020","Pfäffikon","Rappengasse","ZH",844,2701487,1246996,384,,2314,"S0","H13","Zentrum","A2","Vorstädtisch","Hintergrund","geschlossen","&lt; 5&apos;000",
1197,"8488_0020","8488_0020","Turbenthal","Tablat","ZH",840,2707669,1252229,646,,2310,"S00","H00",,"A2","Ländlich","Hintergrund","keine","&lt; 5&apos;000",
1198,"Ust_Bildungszentrum","8610_0030","Uster","Bildungszentrum","ZH",839,2695829,1244930,454,,2309,"S0","H21","Randzonen","A2","Vorstädtisch","Hintergrund","offen","&lt; 5&apos;000",
1199,"8620_0080","8620_0080","Wetzikon","Robenhuserriet","ZH",838,2701988,1243514,538,,2308,"S00","H00",,"A2","Ländlich","Hintergrund","keine","&lt; 5&apos;000",
1200,"8400_0400","8400_0400","Winterthur","Haltestelle Hegi","ZH",837,2700217,1262011,460,,2307,"S12","H21","Randzonen","A2","Vorstädtisch","Verkehr","offen","5&apos;000 - 20&apos;000",
1201,"Win_Neuhegi","8400_0390","Winterthur","Neuhegi","ZH",836,2700093,1262210,459,,2306,"S0","H21","Randzonen","A2","Städtisch","Hintergrund","offen","&lt; 5&apos;000",
1202,"8400_0380","8400_0380","Winterthur","Seenerstrasse","ZH",835,2699700,1262050,452,,2305,"S13","H21","Randzonen","A2","Städtisch","Verkehr","offen","5&apos;000 - 20&apos;000",
1241,"Aff_Islisberg","8910_0170","Affoltern","Islisberg","ZH",897,2674876,1238892,475,,2372,"S23","H00",,"A2","Ländlich","Verkehr","geschlossen","20&apos;000 - 50&apos;000",
1242,"8058_0010","8058_0010","Kloten","Flughafen Airside","ZH",898,2685175,1256475,465,,2373,"S0","H21","Randzonen","A2","Vorstädtisch","Verkehr","einseitig offen","&lt; 5&apos;000",
1243,"8058_0020","8058_0020","Kloten","Flughafen Landside","ZH",899,2685175,1256475,465,,2374,"S0","H21","Randzonen","A2","Vorstädtisch","Verkehr","einseitig offen","&lt; 5&apos;000",
1244,"8058_0030","8058_0030","Kloten","Flughafen Terminal A","ZH",900,2684300,1256500,440,,2375,"S0","H21","Randzonen","A2","Vorstädtisch","Verkehr","einseitig offen","&lt; 5&apos;000",
1246,"Reg_Gubrist","8105_0060","Regensdorf","Gubrist-Tunnel","ZH",902,2678796,1253093,449,,2377,"S33","H00",,"A2","Vorstädtisch","Verkehr","geschlossen","&gt; 50&apos;000",
1248,"Wei_Gubrist","8104_0060","Weiningen","Gubrist-Tunnel","ZH",904,2675892,1252279,410,,2379,"S33","H00",,"A2","Vorstädtisch","Verkehr","geschlossen","&gt; 50&apos;000",
1249,"Wet_Islisberg","8907_0130","Wettswil","Islisberg","ZH",905,2677119,1243022,531,,2380,"S23","H00",,"A2","Ländlich","Verkehr","geschlossen","20&apos;000 - 50&apos;000",
1251,"8106_0010","8106_0010","Adlikon b. R.","Breitestrasse","ZH",914,2677346,1255894,433,,2382,"S11","H11","Randzonen","A2","Vorstädtisch","Verkehr","offen","20&apos;000 - 50&apos;000",
1252,"8134_0010","8134_0010","Adliswil","Grütstrasse","ZH",915,2682820,1241474,478,,2384,"S22","H11","Randzonen","A2","Vorstädtisch","Verkehr","einseitig offen","20&apos;000 - 50&apos;000",
1253,"8953_0040","8953_0040","Dietikon","Kronenplatz","ZH",916,2672591,1250968,391,,2385,"S12","H23","Zentrum","A2","Städtisch","Verkehr","einseitig offen","5&apos;000 - 20&apos;000",
1254,"8451_0010","8451_0010","Kleinandelfingen","Trottenweg","ZH",917,2693600,1272807,365,,2383,"S0","H13","Zentrum","A2","Ländlich","Verkehr","geschlossen","&lt; 5&apos;000",
1265,"8173_0010","8173_0010","Neerach","Turpenlöcher","ZH",928,2678574,1262079,409,,2396,"S0","H00",,"A2","Ländlich","Hintergrund","keine","&lt; 5&apos;000",
1267,"8475_0010","8475_0010","Ossingen","Dachsenhuserriet","ZH",930,2694191,1275542,410,,2398,"S0","H00",,"A2","Ländlich","Verkehr","keine","5&apos;000 - 20&apos;000",
1272,"8195_0010","8195_0010","Wasterkingen","Büelhalden","ZH",935,2677272,1271915,427,,2403,"S00","H00",,"A2","Ländlich","Hintergrund","keine","&lt; 5&apos;000",
1273,"8620_0090","8620_0090","Wetzikon","Seeriet","ZH",936,2701636,1244049,538,,2404,"S00","H00",,"A2","Ländlich","Hintergrund","keine","&lt; 5&apos;000",
1274,"8400_0410","8400_0410","Winterthur","Hoh Wülflingen","ZH",937,2693935,1261383,516,,2405,"S0","H00",,"A2","Ländlich","Hintergrund","keine","&lt; 5&apos;000",
1282,"8700_0020","8700_0020","Küsnacht","Seestrasse","ZH",947,2686256,1241411,412,,2416,"S13","H13","Zentrum","A2","Vorstädtisch","Verkehr","geschlossen","20&apos;000 - 50&apos;000",
1284,"8330_0030","8330_0030","Pfäffikon","Hochstrasse","ZH",949,2701733,1246944,550,,2418,"S12","H13","Zentrum","A2","Vorstädtisch","Verkehr","einseitig offen","5&apos;000 - 20&apos;000",
